#o3_ppb	temp	humid	time
1.9	4.6	74.4	2014-02-03T17:36:00
2.09	4.6	74.4	2014-02-03T17:35:00
1.8	4.6	74.4	2014-02-03T17:34:00
1.89	4.6	74.4	2014-02-03T17:33:00
2.5	4.6	74.5	2014-02-03T17:32:00
2.7	4.6	74.6	2014-02-03T17:31:00
3.11	4.6	74.6	2014-02-03T17:30:00
3.09	4.6	74.6	2014-02-03T17:29:00
3.43	4.6	74.6	2014-02-03T17:28:00
3.47	4.6	74.6	2014-02-03T17:27:00
3.43	4.6	74.6	2014-02-03T17:26:00
2.91	4.6	74.6	2014-02-03T17:25:00
2.73	4.6	74.6	2014-02-03T17:24:00
1.94	4.6	74.6	2014-02-03T17:23:00
2.09	4.6	74.7	2014-02-03T17:22:00
1.85	4.6	74.7	2014-02-03T17:21:00
1.78	4.6	74.7	2014-02-03T17:20:00
1.83	4.6	74.7	2014-02-03T17:19:00
1.92	4.6	74.7	2014-02-03T17:18:00
1.71	4.6	74.7	2014-02-03T17:17:00
1.99	4.6	74.7	2014-02-03T17:16:00
2.05	4.6	74.7	2014-02-03T17:15:00
2.03	4.6	74.7	2014-02-03T17:14:00
2.06	4.6	74.7	2014-02-03T17:13:00
2.04	4.54	75.1	2014-02-03T17:12:00
2.31	4.5	75.3	2014-02-03T17:11:00
2.87	4.5	75.3	2014-02-03T17:10:00
3.07	4.5	75.3	2014-02-03T17:09:00
3.49	4.5	75.3	2014-02-03T17:08:00
4.01	4.5	75.3	2014-02-03T17:07:00
3.96	4.5	75.3	2014-02-03T17:06:00
3.34	4.5	75.3	2014-02-03T17:05:00
2.82	4.5	75.3	2014-02-03T17:04:00
2.3	4.5	75.3	2014-02-03T17:03:00
1.83	4.56	74.7	2014-02-03T17:02:00
1.91	4.6	74.4	2014-02-03T17:01:00
2.19	4.6	74.4	2014-02-03T17:00:00
2.52	4.6	74.4	2014-02-03T16:59:00
2.12	4.6	74.4	2014-02-03T16:58:00
2.13	4.6	74.4	2014-02-03T16:57:00
2.04	4.6	74.4	2014-02-03T16:56:00
2.1	4.6	74.4	2014-02-03T16:55:00
2.22	4.6	74.4	2014-02-03T16:54:00
1.89	4.6	74.4	2014-02-03T16:53:00
2.31	4.73	74.5	2014-02-03T16:52:00
2.76	4.8	74.5	2014-02-03T16:51:00
2.74	4.8	74.5	2014-02-03T16:50:00
2.77	4.8	74.5	2014-02-03T16:49:00
2.83	4.8	74.5	2014-02-03T16:48:00
2.79	4.8	74.5	2014-02-03T16:47:00
2.55	4.8	74.5	2014-02-03T16:46:00
2.14	4.8	74.5	2014-02-03T16:45:00
1.93	4.8	74.5	2014-02-03T16:44:00
1.82	4.8	74.5	2014-02-03T16:43:00
2.01	4.67	74.3	2014-02-03T16:42:00
1.88	4.6	74.2	2014-02-03T16:41:00
1.52	4.6	74.2	2014-02-03T16:40:00
1.54	4.6	74.2	2014-02-03T16:39:00
1.96	4.6	74.2	2014-02-03T16:38:00
1.36	4.6	74.2	2014-02-03T16:37:00
1.29	4.6	74.2	2014-02-03T16:36:00
1.21	4.6	74.2	2014-02-03T16:35:00
1.48	4.6	74.2	2014-02-03T16:34:00
2.05	4.6	74.2	2014-02-03T16:33:00
2.1	4.73	73.8	2014-02-03T16:32:00
2.05	4.8	73.6	2014-02-03T16:31:00
2.44	4.8	73.6	2014-02-03T16:30:00
2.69	4.8	73.6	2014-02-03T16:29:00
2.88	4.8	73.6	2014-02-03T16:28:00
3.3	4.8	73.6	2014-02-03T16:27:00
3.53	4.8	73.6	2014-02-03T16:26:00
3.67	4.8	73.6	2014-02-03T16:25:00
3.94	4.8	73.6	2014-02-03T16:24:00
3.8	4.8	73.6	2014-02-03T16:23:00
3.82	4.8	73.4	2014-02-03T16:22:00
3.6	4.8	73.3	2014-02-03T16:21:00
3.79	4.8	73.3	2014-02-03T16:20:00
4	4.8	73.3	2014-02-03T16:19:00
4.02	4.8	73.3	2014-02-03T16:18:00
4.02	4.8	73.3	2014-02-03T16:17:00
4.31	4.8	73.3	2014-02-03T16:16:00
4.74	4.8	73.3	2014-02-03T16:15:00
4.39	4.8	73.3	2014-02-03T16:14:00
4.22	4.8	73.3	2014-02-03T16:13:00
4.29	4.93	73.1	2014-02-03T16:12:00
4.13	5	73	2014-02-03T16:11:00
4.19	5	73	2014-02-03T16:10:00
4.31	5	73	2014-02-03T16:09:00
3.65	5	73	2014-02-03T16:08:00
3.59	5	73	2014-02-03T16:07:00
3.44	5	73	2014-02-03T16:06:00
3.02	5	73	2014-02-03T16:05:00
2.54	5	73	2014-02-03T16:04:00
2.27	5	73	2014-02-03T16:03:00
1.92	4.62	74.3	2014-02-03T16:02:00
1.7	4.4	75	2014-02-03T16:01:00
2.94	4.4	75	2014-02-03T16:00:00
3.47	4.4	75	2014-02-03T15:59:00
2.12	4.4	75	2014-02-03T15:58:00
1.41	4.4	75	2014-02-03T15:57:00
2.62	4.4	75	2014-02-03T15:56:00
2.77	4.4	75	2014-02-03T15:55:00
2.69	4.4	75	2014-02-03T15:54:00
3.14	4.4	75	2014-02-03T15:53:00
2.81	4.53	74.7	2014-02-03T15:52:00
2.48	4.6	74.5	2014-02-03T15:51:00
1.98	4.6	74.5	2014-02-03T15:50:00
2.28	4.6	74.5	2014-02-03T15:49:00
2.69	4.6	74.5	2014-02-03T15:48:00
3.23	4.6	74.5	2014-02-03T15:47:00
4.64	4.6	74.5	2014-02-03T15:46:00
4.71	4.6	74.5	2014-02-03T15:45:00
4.37	4.6	74.5	2014-02-03T15:44:00
4.71	4.6	74.5	2014-02-03T15:43:00
4.01	4.47	75	2014-02-03T15:42:00
2.46	4.4	75.2	2014-02-03T15:41:00
2.11	4.4	75.2	2014-02-03T15:40:00
2.57	4.4	75.2	2014-02-03T15:39:00
4.25	4.4	75.2	2014-02-03T15:38:00
3.88	4.4	75.2	2014-02-03T15:37:00
3.84	4.4	75.2	2014-02-03T15:36:00
3.85	4.4	75.2	2014-02-03T15:35:00
3.87	4.4	75.2	2014-02-03T15:34:00
4.52	4.4	75.2	2014-02-03T15:33:00
4.81	4.46	74.6	2014-02-03T15:32:00
4.4	4.5	74.2	2014-02-03T15:31:00
4.39	4.5	74.2	2014-02-03T15:30:00
4.83	4.5	74.2	2014-02-03T15:29:00
4.61	4.5	74.2	2014-02-03T15:28:00
4.82	4.5	74.2	2014-02-03T15:27:00
4.35	4.5	74.2	2014-02-03T15:26:00
3.44	4.5	74.2	2014-02-03T15:25:00
3.08	4.5	74.2	2014-02-03T15:24:00
3.63	4.5	74.2	2014-02-03T15:23:00
3.51	4.56	74.1	2014-02-03T15:22:00
2.9	4.6	74.1	2014-02-03T15:21:00
4.57	4.6	74.1	2014-02-03T15:20:00
5.54	4.6	74.1	2014-02-03T15:19:00
5.38	4.6	74.1	2014-02-03T15:18:00
4.54	4.6	74.1	2014-02-03T15:17:00
4.37	4.6	74.1	2014-02-03T15:16:00
3.9	4.6	74.1	2014-02-03T15:15:00
4.22	4.6	74.1	2014-02-03T15:14:00
5.11	4.6	74.1	2014-02-03T15:13:00
5.72	4.73	73.8	2014-02-03T15:12:00
5.49	4.8	73.7	2014-02-03T15:11:00
5.03	4.8	73.7	2014-02-03T15:10:00
5.77	4.8	73.7	2014-02-03T15:09:00
6.4	4.8	73.7	2014-02-03T15:08:00
6.68	4.8	73.7	2014-02-03T15:07:00
