#timestamp	ozone_ppb	temperature	humidity	latitude	longitude
1391251921.500	26.25524762	4	61	4722.71234	829.6447
1391251918.211	11.33190874	16	45	4722.40118	831.2872
1391251914.252	16.95593402	3	63	4723.35116	830.89288
1391251912.698	23.52901089	14	50	4723.70746	832.63347
1391251909.233	13.45489767	3	58	4725.00353	834.15984
1391251909.227	34.11765254	3	63	4722.69981	832.49154
1391251904.232	34.19880368	6	57	4721.40336	830.84024
1391251891.230	26.07440761	5	59	4722.68246	829.58219
1391251888.244	11.33190874	16	45	4722.40351	831.28502
1391251884.229	16.89954662	2	63	4723.40005	830.64574
1391251883.235	23.52901089	14	50	4723.70551	832.63725
1391251879.220	34.11765254	3	63	4722.67385	832.50478
1391251879.199	13.57318727	4	58	4725.00194	834.15987
1391251874.216	34.19880368	6	57	4721.34008	830.80833
1391251863.258	27.63175134	2	62	4722.64683	833.17243
1391251861.728	26.07440761	5	59	4722.57392	829.35732
1391251858.292	11.21583465	16	45	4722.40227	831.2894
1391251854.242	16.89954662	2	63	4723.41055	830.63011
1391251853.319	23.52901089	14	50	4723.70396	832.63422
1391251849.232	33.83315797	3	62	4722.64899	832.50564
1391251849.228	13.57318727	4	58	4725.00083	834.15977
1391251843.432	34.16032184	6	55	4721.21766	830.73173
1391251831.234	25.94844481	5	60	4722.54388	829.27772
1391251828.246	11.21583465	16	45	4722.40499	831.28631
1391251824.232	18.8699838	2	62	4723.46168	830.46749
1391251824.189	23.52901089	14	50	4723.7043	832.63012
1391251819.222	33.83315797	3	62	4722.62251	832.46636
1391251819.215	13.67233648	4	58	4725.00194	834.15971
1391251814.276	34.16032184	6	55	4721.18838	830.67817
1391251803.283	27.63175134	2	61	4722.64765	833.17223
1391251801.502	25.94844481	5	60	4722.5261	829.1627
1391251798.252	11.33190874	16	47	4722.40592	831.28402
1391251794.261	18.8699838	2	62	4723.50041	830.33858
1391251793.316	23.52901089	14	50	4723.69903	832.64198
1391251789.346	13.67233648	4	58	4725.00222	834.15802
1391251788.539	33.53192843	3	63	4722.61382	832.39962
1391251783.412	34.4347516	7	56	4721.18887	830.67766
1391251771.239	25.82248202	5	60	4722.47152	829.07987
1391251768.226	11.33190874	16	47	4722.4064	831.28456
1391251764.212	18.10370268	2	63	4723.53286	830.15345
1391251764.193	23.52901089	14	50	4723.69691	832.6484
1391251759.209	13.82106029	4	59	4725.00216	834.15716
1391251758.526	33.53192843	3	63	4722.58988	832.37844
1391251754.286	34.4347516	7	56	4721.16956	830.58698
1391251743.248	27.63175134	2	63	4722.64645	833.17169
1391251743.239	11.33190874	16	47	4722.40842	831.28469
1391251741.584	25.82248202	5	60	4722.47462	829.09854
1391251734.195	18.10370268	2	63	4723.52411	830.09601
1391251733.212	23.52901089	14	50	4723.70259	832.64102
1391251729.231	33.54029592	3	62	4722.56433	832.364
1391251729.228	13.82106029	4	59	4725.00211	834.1577
1391251724.226	34.67030693	7	56	4721.14231	830.46991
1391251711.289	25.82248202	5	61	4722.47369	829.09995
1391251708.218	11.33190874	16	45	4722.40994	831.28432
1391251704.284	16.46167169	2	62	4723.5283	829.77826
1391251703.186	23.52901089	14	50	4723.69818	832.63306
1391251699.209	13.84364135	3	60	4724.99861	834.10964
1391251698.816	33.54029592	3	62	4722.54613	832.35335
1391251694.298	34.67030693	7	56	4721.12555	830.44011
1391251682.986	27.63175134	2	62	4722.64585	833.17293
1391251681.524	25.82248202	5	61	4722.47322	829.09977
1391251678.204	11.33190874	16	45	4722.41083	831.28297
1391251674.237	16.46167169	2	62	4723.53268	829.67185
1391251673.346	23.52901089	14	50	4723.70237	832.63235
1391251669.209	13.84364135	3	60	4725.00486	834.09758
1391251668.266	33.44825355	3	62	4722.5347	832.34328
1391251664.211	35.00692227	6	57	4721.12567	830.44079
1391251653.229	25.94657622	4	62	4722.47366	829.10009
1391251648.212	11.33190874	16	47	4722.41251	831.2831
1391251644.202	15.8048593	2	62	4723.55618	829.47591
1391251643.278	23.52901089	14	50	4723.70417	832.63363
1391251639.225	13.74645543	3	59	4725.02319	834.02996
1391251638.289	33.44825355	3	62	4722.5298	832.32451
1391251634.217	35.00692227	6	57	4721.12714	830.44041
1391251628.074	27.47213361	1	62	4722.64522	833.17355
1391251621.576	25.94657622	4	62	4722.47381	829.10042
1391251618.231	11.33190874	16	47	4722.41061	831.28334
1391251614.192	15.8048593	2	62	4723.57659	829.43012
1391251613.246	23.52901089	14	50	4723.70761	832.63087
1391251609.212	13.74645543	3	59	4725.07018	833.75387
1391251608.264	33.26416883	3	63	4722.52887	832.31374
1391251604.207	35.04540411	6	58	4721.12702	830.44047
1391251592.242	25.94352221	3	62	4722.4733	829.0998
1391251588.205	11.33190874	16	45	4722.40795	831.28007
1391251584.202	15.91432803	2	63	4723.5814	829.43062
1391251583.206	23.52901089	14	50	4723.70702	832.63418
1391251579.199	13.74645543	3	59	4725.12999	833.60718
1391251578.289	33.26416883	3	63	4722.53355	832.28925
1391251574.212	35.04540411	6	58	4721.12749	830.44022
1391251563.274	27.47213361	1	63	4722.64576	833.17411
1391251561.556	25.94352221	3	62	4722.47391	829.09893
1391251557.667	11.33190874	16	45	4722.40855	831.28436
1391251554.209	15.91432803	2	63	4723.58272	829.43075
1391251553.232	23.52901089	14	50	4723.70659	832.63409
1391251549.210	13.74645543	3	59	4725.20643	833.42717
1391251548.260	33.14702401	3	63	4722.55003	832.21224
1391251544.215	35.08388595	6	57	4721.12671	830.44042
1391251532.247	25.9986441	2	61	4722.4737	829.09858
1391251528.204	11.21583465	16	47	4722.40937	831.28643
1391251524.178	15.91432803	2	62	4723.57838	829.4301
1391251523.331	23.52901089	14	50	4723.70598	832.63474
1391251519.189	13.89223431	3	59	4725.20949	833.37688
1391251518.255	33.14702401	3	63	4722.57321	832.18784
1391251513.337	35.08388595	6	57	4721.1266	830.43965
1391251503.209	27.47213361	1	63	4722.64499	833.17356
1391251501.417	25.9986441	2	61	4722.4735	829.09833
1391251497.724	11.21583465	16	47	4722.40932	831.28598
1391251494.192	15.91432803	2	62	4723.57374	829.42863
1391251493.254	23.52901089	14	50	4723.70801	832.63744
1391251489.204	13.89223431	3	59	4725.07908	833.2542
1391251488.595	33.13011944	4	63	4722.61233	832.21173
1391251484.212	35.44545978	5	58	4721.12732	830.43932
1391251471.249	25.88001681	2	63	4722.47284	829.09879
1391251468.200	11.21583465	16	47	4722.40868	831.28782
1391251464.172	15.91432803	2	61	4723.57109	829.42856
1391251463.216	23.52901089	14	50	4723.70658	832.63315
1391251459.199	13.89223431	3	59	4724.99352	833.17558
1391251458.217	33.13011944	4	63	4722.6176	832.21621
1391251454.211	35.44545978	5	58	4721.12701	830.43975
1391251443.218	27.47213361	1	63	4722.64503	833.17243
1391251441.575	25.88001681	2	63	4722.47389	829.09905
1391251438.194	11.21583465	16	47	4722.41038	831.2888
1391251434.188	15.91432803	2	61	4723.56659	829.42771
1391251433.187	23.52901089	14	50	4723.70238	832.63326
1391251429.305	13.89223431	3	59	4724.90183	833.09287
1391251428.260	33.10450987	4	63	4722.61911	832.21742
1391251424.212	35.143701	5	60	4721.12715	830.44005
1391251412.251	26.05795774	2	62	4722.47258	829.09991
1391251408.200	11.33190874	16	47	4722.4103	831.28847
1391251404.197	16.02379676	2	62	4723.56394	829.42805
1391251403.239	23.52901089	14	50	4723.70912	832.63503
1391251399.200	14.03801319	3	59	4724.88848	833.08168
1391251398.264	33.10450987	4	63	4722.61906	832.22257
1391251394.216	35.143701	5	60	4721.12703	830.44015
1391251383.221	27.47213361	1	62	4722.64647	833.17255
1391251381.656	26.05795774	2	62	4722.47337	829.09975
1391251377.595	11.33190874	16	47	4722.40857	831.28579
1391251374.248	16.02379676	2	62	4723.55661	829.42731
1391251373.242	23.52901089	14	50	4723.70834	832.63581
1391251369.211	14.03801319	3	59	4724.88743	833.08211
1391251368.260	33.10450987	4	64	4722.62055	832.21654
1391251364.212	34.6484844	4	60	4721.12783	830.43841
1391251351.289	26.17658503	2	61	4722.52	829.12833
1391251348.194	11.33190874	16	47	4722.40809	831.28274
1391251344.190	15.91432803	2	62	4723.55854	829.42645
1391251343.260	23.52901089	14	50	4723.71382	832.63582
1391251339.197	13.94082727	3	59	4724.78182	833.03603
1391251338.335	33.10450987	4	64	4722.6202	832.21827
1391251334.212	34.6484844	4	60	4721.12748	830.4387
1391251323.202	27.47213361	1	62	4722.64676	833.1728
1391251321.505	26.17658503	2	61	4722.54177	829.25959
1391251317.624	11.33190874	16	47	4722.40864	831.27651
1391251314.194	15.91432803	2	62	4723.55745	829.42592
1391251313.205	23.52901089	14	50	4723.71749	832.62863
1391251309.250	13.94082727	3	59	4724.66203	833.01309
1391251308.268	33.28377683	4	64	4722.61787	832.21778
1391251304.210	34.38967379	4	58	4721.12675	830.4398
1391251292.232	26.35452597	2	62	4722.5469	829.28546
1391251287.544	11.33190874	16	47	4722.40925	831.27505
1391251284.229	15.95081269	3	61	4723.54757	829.42321
1391251283.233	23.52901089	14	50	4723.70999	832.63498
1391251279.188	13.91148162	2	58	4724.63871	833.00598
1391251278.328	33.28377683	4	64	4722.61693	832.21503
1391251274.212	34.38967379	4	58	4721.14535	830.45345
1391251263.198	27.47213361	1	63	4722.64532	833.17391
1391251261.265	26.35452597	2	62	4722.61692	829.44311
1391251257.554	11.33190874	16	47	4722.40837	831.27395
1391251254.228	15.95081269	3	61	4723.54712	829.42254
1391251253.208	23.52901089	14	50	4723.70667	832.63853
1391251249.221	13.91148162	2	58	4724.62246	832.88391
1391251248.260	33.65744074	3	64	4722.61654	832.21594
1391251243.243	34.75464083	3	58	4721.18543	830.65924
1391251231.301	26.41383961	2	63	4722.71769	829.64858
1391251227.529	11.33190874	16	47	4722.40759	831.27494
1391251224.214	16.17417299	3	61	4723.54648	829.42226
1391251223.200	23.52901089	14	50	4723.70864	832.63811
1391251219.190	13.7209586	2	59	4724.61377	832.80471
1391251218.251	33.65744074	3	64	4722.61679	832.21723
1391251214.210	34.75464083	3	58	4721.19236	830.67831
1391251203.198	27.47213361	1	62	4722.64614	833.17394
1391251202.290	26.41383961	2	63	4722.73442	829.67742
1391251197.444	11.33190874	16	47	4722.40874	831.27749
1391251193.188	23.52901089	14	50	4723.70627	832.63586
1391251189.318	13.7209586	2	59	4724.61074	832.76773
1391251188.294	33.62397079	3	63	4722.62206	832.2204
1391251184.212	35.29825328	3	58	4721.25573	830.76188
1391251171.242	26.35452597	2	63	4722.7165	829.79193
1391251167.463	11.33190874	16	47	4722.40824	831.27996
1391251166.207	15.05737151	3	63	4723.54133	829.42038
1391251163.287	23.52901089	14	50	4723.70664	832.63466
1391251159.200	13.79504839	3	59	4724.65886	832.7369
1391251158.344	33.62397079	3	63	4722.65876	832.26026
1391251154.218	35.29825328	3	58	4721.40695	830.83667
1391251143.206	27.47213361	1	62	4722.64597	833.1736
1391251142.422	26.35452597	2	63	4722.64751	829.94633
1391251137.414	11.33190874	16	47	4722.40863	831.2831
1391251134.204	15.05737151	3	63	4723.53929	829.41979
1391251133.206	23.52901089	14	50	4723.71526	832.63632
1391251129.290	13.79504839	3	59	4724.65337	832.6697
1391251128.310	33.64070576	3	64	4722.64956	832.32076
1391251124.212	35.98682905	3	58	4721.48587	830.89429
1391251111.295	26.23589868	2	64	4722.64444	829.96785
1391251107.437	11.33190874	16	47	4722.40731	831.28645
1391251105.186	15.5040921	3	63	4723.53717	829.41898
1391251103.196	23.52901089	14	50	4723.71429	832.63628
1391251099.198	13.76858936	2	59	4724.66582	832.62538
1391251098.368	33.64070576	3	64	4722.63792	832.35338
1391251094.213	35.98682905	3	58	4721.52798	831.02653
1391251083.208	27.47213361	1	62	4722.64553	833.17345
1391251081.555	26.23589868	2	64	4722.6498	830.21046
1391251077.411	11.33190874	16	47	4722.40752	831.28597
1391251076.222	15.5040921	3	63	4723.53594	829.41813
1391251073.192	23.52901089	14	50	4723.71009	832.63447
1391251069.239	13.76858936	2	59	4724.66051	832.60944
1391251068.264	33.73274812	3	65	4722.63098	832.37797
1391251064.251	35.98682905	3	58	4721.52099	831.05386
1391251051.258	26.35452597	2	63	4722.66263	830.44508
1391251047.382	11.33190874	16	47	4722.40843	831.28639
1391251045.179	16.35220296	2	62	4723.53181	829.41687
1391251043.306	23.52901089	14	50	4723.71295	832.62785
1391251039.204	14.00674313	2	59	4724.58378	832.44874
1391251038.277	33.73274812	3	65	4722.62672	832.48628
1391251034.210	35.98682905	3	58	4721.47233	831.22444
1391251023.198	27.47213361	1	62	4722.64727	833.17296
1391251021.416	26.35452597	2	63	4722.67328	830.49728
1391251017.381	11.33190874	16	47	4722.40782	831.28487
1391251013.740	16.35220296	2	62	4723.53099	829.4166
1391251012.286	23.52901089	14	50	4723.71542	832.63037
1391251009.249	14.00674313	2	59	4724.51859	832.35375
1391251008.283	33.58213335	3	65	4722.64856	832.5018
1391251004.212	36.05931071	3	59	4721.46912	831.23488
1391250992.238	26.5324669	2	62	4722.69152	830.62146
1391250987.393	11.33190874	16	47	4722.4065	831.28548
1391250984.213	17.55635902	2	61	4723.53685	829.39146
1391250983.189	23.52901089	14	50	4723.71408	832.63172
