#timestamp.	ozone_ppb	temperature	humidity	latitude	longitude
1392420919.201	12.48303846	3	65	4722.39654	831.86889
1392420918.399	24.12981884	2	61	4722.24196	830.97976
1392420906.223	32.74433685	12	52	4723.47755	831.30245
1392420900.192	14.38176578	2	65	4723.52544	829.44409
1392420892.330	15.62205522	3	64	4722.01527	833.68158
1392420888.253	12.48303846	3	65	4722.40674	831.79671
1392420888.210	24.10766312	2	61	4722.20912	831.13569
1392420876.323	32.73431915	12	52	4723.47347	831.29409
1392420870.236	14.38176578	2	65	4723.52609	829.41963
1392420862.267	13.47407668	3	64	4722.08627	833.61023
1392420859.169	12.58022438	3	63	4722.41343	831.77173
1392420858.247	24.10766312	2	61	4722.21558	831.14999
1392420846.229	32.73431915	12	52	4723.47748	831.28952
1392420840.252	14.27229705	2	66	4723.53338	829.39068
1392420832.245	13.47407668	3	64	4722.0899	833.58615
1392420829.202	12.58022438	3	63	4722.40261	831.70729
1392420828.210	24.10766312	2	62	4722.22305	831.26894
1392420816.213	32.74433685	12	52	4723.47857	831.29384
1392420810.172	14.27229705	2	66	4723.55588	829.43065
1392420803.145	24.10766312	2	62	4722.27873	831.43305
1392420802.190	13.38457758	3	65	4722.15554	833.4375
1392420798.253	12.62881734	3	64	4722.39897	831.70444
1392420786.205	32.74433685	12	52	4723.4743	831.29724
1392420779.653	14.16282831	2	66	4723.52737	829.66503
1392420772.287	13.38457758	3	65	4722.16424	833.27506
1392420768.277	12.62881734	3	64	4722.36189	831.61384
1392420768.210	24.10766312	2	61	4722.28394	831.43766
1392420756.182	32.74433685	12	52	4723.48321	831.3028
1392420749.678	14.16282831	2	66	4723.52644	829.74598
1392420742.165	13.20557937	3	65	4722.16664	833.23006
1392420738.321	24.10766312	2	62	4722.30771	831.5197
1392420738.230	12.6774103	3	63	4722.32766	831.58647
1392420726.222	32.74433685	12	52	4723.47778	831.30572
1392420719.582	14.16282831	2	67	4723.52567	829.97465
1392420712.180	13.20557937	3	65	4722.21825	833.00431
1392420708.278	12.6774103	3	63	4722.2862	831.47112
1392420708.219	24.10766312	2	62	4722.35673	831.60897
1392420696.319	32.74433685	12	52	4723.47488	831.30644
1392420690.174	14.16282831	2	67	4723.53239	830.14716
1392420682.185	13.20557937	3	66	4722.24247	832.92273
1392420678.245	13.11474695	3	63	4722.27516	831.43337
1392420678.066	24.12981884	2	62	4722.38754	831.65331
1392420666.173	32.74433685	12	52	4723.47553	831.30646
1392420660.308	14.16282831	2	67	4723.53804	830.22105
1392420652.056	13.20557937	3	66	4722.24213	832.92281
1392420648.243	24.12981884	2	62	4722.40314	831.72485
1392420648.215	13.11474695	3	63	4722.23766	831.33944
1392420636.260	32.74433685	12	52	4723.47973	831.30425
1392420629.643	14.16282831	2	67	4723.49861	830.35471
1392420621.718	13.20557937	3	66	4722.29875	832.85997
1392420618.262	24.12981884	2	62	4722.4176	831.77292
1392420618.219	13.11474695	3	64	4722.17961	831.18962
1392420606.202	32.74433685	12	52	4723.4817	831.30275
1392420599.488	14.16282831	2	66	4723.47765	830.44337
1392420591.740	13.20557937	3	66	4722.37012	832.83912
